frame,obj_cls,obj_id,x,y,w,h
48,0,7,77.282425,428.60638,150.92468,78.77985
48,0,8,879.64935,652.62537,79.30701,134.74927
48,0,9,1053.2852,261.48807,73.32422,148.24406
49,0,1,929.67017,272.13092,73.27869,142.31335
49,0,2,566.73584,358.4044,120.70676,111.566345
49,0,3,1051.2917,581.2833,152.42908,103.11371
49,0,4,581.4502,92.45258,135.92664,77.16878
49,0,5,683.28406,319.20142,114.171814,116.83957
49,0,6,649.3654,617.4783,93.25183,151.93713
49,0,7,77.270226,428.6001,150.92348,78.77368
49,0,8,879.6421,652.62427,79.46747,134.75146
49,0,9,1053.2871,261.49414,73.51001,148.24551
50,0,1,929.6776,272.13568,73.28223,142.31
50,0,2,566.7398,358.39966,120.73715,111.55789
50,0,3,1051.3007,581.2732,152.56464,103.13373
50,0,4,581.4499,92.44301,135.70032,77.185524
50,0,5,683.2855,319.2176,114.034424,116.8038
50,0,6,649.3668,617.4878,93.50946,151.94952
50,0,7,77.263504,428.62216,150.96411,78.79413
50,0,8,879.6617,652.61365,79.617676,134.77277
50,0,9,1053.283,261.50336,73.67468,148.24028
51,0,1,929.683,272.13925,73.27698,142.28789
51,0,2,566.7417,358.38843,120.79254,111.57535
51,0,3,1051.3081,581.2748,152.6737,103.14502
51,0,4,581.4368,92.43853,135.51794,77.21596
51,0,5,683.27686,319.22345,113.92432,116.78296
51,0,6,649.3744,617.48755,93.7431,151.96527
51,0,7,77.262474,428.6297,150.94652,78.781525
51,0,8,879.6727,652.6278,79.73102,134.74432
51,0,9,1053.2227,261.4031,73.696045,148.04755
52,0,1,929.97925,271.6238,73.56476,143.14616
52,0,2,566.4442,358.6286,120.49945,111.191986
52,0,3,1051.2616,580.93164,152.38055,102.910034
52,0,4,581.1094,92.49623,135.05249,77.236084
52,0,5,683.28986,320.11694,115.02698,118.317474
52,0,6,649.9531,617.4646,93.89172,151.83307
52,0,7,77.18521,428.52127,150.9161,78.72638
52,0,8,879.1717,652.64185,79.97986,134.71631
52,0,9,1053.5483,261.81964,73.69745,147.4425
53,0,1,930.08496,271.43805,73.602844,143.4938
53,0,2,566.3351,358.7174,120.4556,111.04947
53,0,3,1051.2412,580.79913,152.31396,102.83374
53,0,4,580.9844,92.51937,134.6145,77.244644
53,0,5,683.29474,320.45618,115.23401,118.90018
53,0,6,650.1638,617.45715,94.071594,151.78851
53,0,7,77.163956,428.4701,150.88828,78.67276
53,0,8,878.9783,652.6475,80.21454,134.70496
53,0,9,1053.6733,261.97803,73.85443,147.20784
54,0,1,930.134,271.35492,73.517456,143.57166
54,0,2,566.29803,358.74756,120.503876,111.001434
54,0,3,1051.2355,580.75366,152.30988,102.802246
54,0,4,580.94696,92.525406,134.21643,77.2536
54,0,5,683.29626,320.58752,115.12518,119.125244
54,0,6,650.2434,617.4501,94.256714,151.78656
54,0,7,77.155975,428.43622,150.8659,78.621826
54,0,8,878.9107,652.6505,80.42822,134.69897
54,0,9,1053.7249,262.02997,74.07361,147.14877
55,0,1,930.15186,271.32013,73.4129,143.58856
55,0,2,566.28815,358.75327,120.57968,110.987915
55,0,3,1051.2339,580.7409,152.32715,102.78723
55,0,4,580.9332,92.52221,133.85248,77.26109
55,0,5,683.29694,320.63007,114.902466,119.20102
55,0,6,650.2671,617.4476,94.42938,151.79272
55,0,7,77.15357,428.42792,150.90935,78.61044
55,0,8,878.89215,652.64996,80.625854,134.70007
55,0,9,1053.7379,262.03717,74.275635,147.09937
56,0,1,930.1599,271.29758,73.298584,143.5594
56,0,2,566.2875,358.75024,120.66165,110.98926
56,0,3,1051.2344,580.73596,152.36182,102.78693
56,0,4,580.933,92.5241,133.50568,77.25664
56,0,5,683.2975,320.64075,114.65338,119.22064
56,0,6,650.2704,617.44763,94.58673,151.80096
56,0,7,77.15384,428.42383,150.96582,78.6091
56,0,8,878.8917,652.64966,80.803894,134.70068
56,0,9,1053.7443,262.04883,74.4837,147.10681
57,0,1,930.1544,271.29922,73.20978,143.55995
57,0,2,566.2803,358.73987,120.76001,111.01962
57,0,3,1051.2355,580.7327,152.40704,102.79724
57,0,4,580.92633,92.52845,133.18604,77.24751
57,0,5,683.3009,320.63556,114.3974,119.20529
57,0,6,650.2604,617.4558,94.721985,151.79309
57,0,7,77.1541,428.42493,151.01251,78.60501
57,0,8,878.89124,652.6495,80.96521,134.70105
57,0,9,1053.7375,262.0571,74.66449,147.10194
58,0,1,930.18097,271.10437,73.24841,143.85976
58,0,2,565.77704,359.14026,120.74951,110.936615
58,0,3,1051.2157,580.5762,152.05743,102.50574
58,0,4,580.68005,92.61543,132.80682,77.2346
58,0,5,683.2329,321.19086,114.882996,120.14993
58,0,6,650.0569,617.4963,94.45813,151.38574
58,0,7,77.07979,428.2832,150.77335,78.41058
58,0,8,878.82074,652.5913,81.18091,134.81738
58,0,9,1053.7034,262.10495,74.76929,146.89258
59,0,1,930.19543,271.03784,73.18805,143.942
59,0,2,565.591,359.27872,120.80151,110.922485
59,0,3,1051.2063,580.5355,151.93915,102.374695
59,0,4,580.593,92.648346,132.51215,77.25056
